timestamp,hour,day_of_year,cloud_cover,temperature,humidity,wind_speed,solar_kwh
2024-01-01 00:00:00,0,1,49.4,14.4,58.7,6.16,0.038
2024-01-01 01:00:00,1,1,23.6,15.8,45.2,0.45,0.0
2024-01-01 02:00:00,2,1,17.3,19.5,52.3,3.14,0.0
2024-01-01 03:00:00,3,1,27.1,13.3,54.0,1.8,0.093
2024-01-01 04:00:00,4,1,56.2,17.6,55.1,3.42,0.0
2024-01-01 05:00:00,5,1,13.6,17.3,53.6,2.77,0.0
2024-01-01 06:00:00,6,1,19.2,16.1,45.0,3.65,0.0
2024-01-01 07:00:00,7,1,19.8,18.2,58.6,1.32,0.0
2024-01-01 08:00:00,8,1,31.7,11.8,50.4,4.63,0.087
2024-01-01 09:00:00,9,1,25.2,16.2,62.7,2.93,0.107
2024-01-01 10:00:00,10,1,1.3,15.4,48.8,3.18,0.0
2024-01-01 11:00:00,11,1,29.8,12.7,53.5,4.83,0.055
2024-01-01 12:00:00,12,1,23.0,13.0,53.0,2.22,0.0
2024-01-01 13:00:00,13,1,40.0,10.9,55.9,2.31,0.0
2024-01-01 14:00:00,14,1,30.3,15.9,55.7,0.84,0.037
2024-01-01 15:00:00,15,1,16.2,14.5,54.7,2.93,0.0
2024-01-01 16:00:00,16,1,46.9,19.3,52.4,4.17,0.132
2024-01-01 17:00:00,17,1,27.1,10.5,55.8,0.88,0.043
2024-01-01 18:00:00,18,1,10.8,12.8,50.6,4.63,0.0
2024-01-01 19:00:00,19,1,26.7,15.9,59.3,0.53,0.0
2024-01-01 20:00:00,20,1,43.4,13.1,59.8,3.59,0.0
2024-01-01 21:00:00,21,1,60.7,12.2,66.1,5.32,0.0
2024-01-01 22:00:00,22,1,48.8,14.4,56.0,1.22,0.0
2024-01-01 23:00:00,23,1,32.5,15.1,63.8,2.47,0.136
2024-01-02 00:00:00,0,2,63.6,11.9,65.1,2.55,0.036
2024-01-02 01:00:00,1,2,48.0,12.6,52.0,2.11,0.043
2024-01-02 02:00:00,2,2,63.9,12.5,63.6,3.12,0.0
2024-01-02 03:00:00,3,2,37.1,11.0,52.7,4.03,0.026
2024-01-02 04:00:00,4,2,34.8,17.1,51.2,0.0,0.008
2024-01-02 05:00:00,5,2,8.5,9.5,49.6,3.16,0.0
2024-01-02 06:00:00,6,2,43.3,17.2,70.6,6.69,0.068
2024-01-02 07:00:00,7,2,84.7,15.7,64.7,0.34,0.0
2024-01-02 08:00:00,8,2,71.2,13.2,69.0,5.53,0.031
2024-01-02 09:00:00,9,2,84.7,13.7,65.7,6.74,0.011
2024-01-02 10:00:00,10,2,24.3,11.4,62.6,5.65,0.036
2024-01-02 11:00:00,11,2,18.3,15.2,52.7,3.12,0.083
2024-01-02 12:00:00,12,2,22.9,11.4,58.0,3.14,0.074
2024-01-02 13:00:00,13,2,32.7,13.3,61.0,2.07,0.015
2024-01-02 14:00:00,14,2,22.0,16.1,51.3,4.75,0.077
2024-01-02 15:00:00,15,2,25.6,15.5,51.8,5.32,0.119
2024-01-02 16:00:00,16,2,17.7,15.2,52.3,4.71,0.023
2024-01-02 17:00:00,17,2,26.0,16.9,46.2,2.11,0.084
2024-01-02 18:00:00,18,2,12.6,17.0,49.0,2.98,0.0
2024-01-02 19:00:00,19,2,77.1,14.2,68.5,5.72,0.0
2024-01-02 20:00:00,20,2,49.7,15.8,65.7,2.05,0.0
2024-01-02 21:00:00,21,2,56.2,19.6,59.7,2.99,0.0
2024-01-02 22:00:00,22,2,33.2,12.6,59.1,3.18,0.0
2024-01-02 23:00:00,23,2,20.7,15.2,56.5,3.11,0.114
2024-01-03 00:00:00,0,3,22.0,12.8,53.9,4.95,0.0
2024-01-03 01:00:00,1,3,85.7,13.6,57.6,3.72,0.029
2024-01-03 02:00:00,2,3,75.8,20.6,64.8,2.44,0.015
2024-01-03 03:00:00,3,3,19.8,18.9,53.4,2.89,0.013
2024-01-03 04:00:00,4,3,43.8,15.3,57.2,0.2,0.0
2024-01-03 05:00:00,5,3,74.0,19.0,66.0,7.09,0.006
2024-01-03 06:00:00,6,3,37.5,20.4,52.4,2.46,0.074
2024-01-03 07:00:00,7,3,39.1,9.9,62.2,2.73,0.022
2024-01-03 08:00:00,8,3,2.2,11.0,50.4,4.59,0.02
2024-01-03 09:00:00,9,3,6.3,16.2,46.6,1.97,0.0
2024-01-03 10:00:00,10,3,25.9,13.6,51.2,2.79,0.0
2024-01-03 11:00:00,11,3,47.7,13.1,60.6,2.78,0.031
2024-01-03 12:00:00,12,3,38.7,14.3,46.2,0.03,0.118
2024-01-03 13:00:00,13,3,67.9,16.9,65.1,9.16,0.087
2024-01-03 14:00:00,14,3,52.0,12.9,53.3,1.71,0.0
2024-01-03 15:00:00,15,3,53.0,15.4,56.3,6.05,0.061
2024-01-03 16:00:00,16,3,21.6,17.9,63.9,0.2,0.069
2024-01-03 17:00:00,17,3,33.0,15.3,52.4,3.54,0.023
2024-01-03 18:00:00,18,3,48.8,13.4,63.5,4.0,0.0
2024-01-03 19:00:00,19,3,30.5,13.2,59.0,1.47,0.0
2024-01-03 20:00:00,20,3,10.6,17.1,43.8,2.87,0.0
2024-01-03 21:00:00,21,3,25.9,18.2,52.3,4.67,0.0
2024-01-03 22:00:00,22,3,29.8,16.9,54.9,3.74,0.0
2024-01-03 23:00:00,23,3,42.4,16.2,56.4,2.02,0.0
2024-01-04 00:00:00,0,4,52.3,17.8,58.8,5.4,0.0
2024-01-04 01:00:00,1,4,11.7,15.2,60.7,3.65,0.0
2024-01-04 02:00:00,2,4,87.1,10.7,73.1,3.68,0.0
2024-01-04 03:00:00,3,4,23.9,13.8,50.5,4.66,0.0
2024-01-04 04:00:00,4,4,47.3,18.3,56.9,2.46,0.0
2024-01-04 05:00:00,5,4,25.8,17.8,61.9,3.83,0.094
2024-01-04 06:00:00,6,4,43.6,9.8,66.2,4.31,0.0
2024-01-04 07:00:00,7,4,62.8,15.5,66.2,3.96,0.021
2024-01-04 08:00:00,8,4,19.3,20.0,51.3,1.02,0.027
2024-01-04 09:00:00,9,4,26.3,14.7,53.1,0.98,0.0
2024-01-04 10:00:00,10,4,51.6,14.2,68.7,2.48,0.0
2024-01-04 11:00:00,11,4,37.9,14.5,61.1,6.7,0.111
2024-01-04 12:00:00,12,4,12.4,15.3,48.6,4.35,0.07
2024-01-04 13:00:00,13,4,41.8,13.5,65.3,2.32,0.0
2024-01-04 14:00:00,14,4,19.6,14.1,53.2,4.06,0.108
2024-01-04 15:00:00,15,4,9.5,19.0,48.4,1.54,0.07
2024-01-04 16:00:00,16,4,57.2,17.3,65.5,1.12,0.041
2024-01-04 17:00:00,17,4,61.5,17.0,53.9,6.53,0.0
2024-01-04 18:00:00,18,4,49.2,17.0,66.1,1.34,0.0
2024-01-04 19:00:00,19,4,36.1,16.4,62.1,2.94,0.0
2024-01-04 20:00:00,20,4,56.0,10.0,58.1,2.16,0.0
2024-01-04 21:00:00,21,4,37.5,12.2,67.5,4.44,0.0
2024-01-04 22:00:00,22,4,44.0,18.1,53.8,4.02,0.0
2024-01-04 23:00:00,23,4,62.4,15.2,60.7,3.4,0.0
2024-01-05 00:00:00,0,5,64.0,11.1,65.7,0.51,0.104
2024-01-05 01:00:00,1,5,46.6,17.3,62.3,0.04,0.0
2024-01-05 02:00:00,2,5,16.0,13.1,54.1,2.33,0.099
2024-01-05 03:00:00,3,5,28.7,13.5,50.3,4.86,0.0
2024-01-05 04:00:00,4,5,58.7,17.1,67.1,3.24,0.041
2024-01-05 05:00:00,5,5,37.8,16.6,49.9,2.88,0.041
